"","Strain","Temperature","GR1","GR2","GR3","GR4","GR5","GR6","GR7","GR8"
"1","BRX8.1",11,0.273671960993787,0.408640350227872,0.183510901211264,0.668381477118484,0.905133613396605,0.165324756285281,0.154062149417666,0.125413888158154
"2","BRX8.1",17,0.168776364088946,0.375991539312371,0.22960806611675,0.624563110343039,0.343899498366791,0.271677306524808,0.686133367671773,0.462939512069749
"3","BRX8.2",11,0.125687312794098,0.214620953205368,0.345907895876001,0.260053298049745,0.363536533775539,0.261528701073493,0.2975201197724,0.241367671733962
"4","BRX8.2",17,0.115912149470816,0.225614948175001,0.140844004544885,0.130425130978926,0.152446778290522,0.0567831622365881,0.125725043651117,0.2763155676693
"5","BRX8.3",11,0.931053679005969,0.439417298811868,0.459313220667959,0.550019082169531,0.510245743718544,0.298093784366763,0.293303922786425,0.156258727492403
"6","BRX8.3",17,0.236092212479847,0.499566838501217,0.521461573795307,0.212457980502496,0.324971661338711,0.115461308295033,0.285653532766679,0.20062407309233
"7","BRX8.4",11,0.085848370646996,0.0679380545949068,0.123855287870504,0.120352985077368,0.149163818304934,0.131745503825584,0.35234793070798,0.0534520219486747
"8","BRX8.4",17,0.284968920371707,0.620491551195112,0.741595657096007,0.298152629399439,0.184460272695738,0.639970083942125,0.591530400097386,0.284111254877744
"9","BRX8.5",11,0.18469102569715,0.365850818082194,0.477677812390456,0.414640107219584,0.382344563050848,0.364065258664183,0.380546863376967,0.478226039904636
"10","BRX8.5",17,0.284654581895293,0.762241945012682,0.21034656197413,0.126862810585301,0.175898004900639,0.156990564331361,0.186823923473265,0.245079078595904
"11","BRX8.6",11,0.291622021020869,0.517534856787968,0.29610570259731,0.344753326891796,0.281899179212216,0.40023393507232,0.447011131181789,0.536173861067356
"12","BRX8.6",17,0.284459075273583,0.701527717059394,0.830484801229746,0.55405879234373,0.375067538053389,0.19882807655166,0.347395098625146,0.303488440293886
"13","BRX8.7",4,0.157799194004035,0.144479805222334,0.103684164222905,0.0838815773871458,0.0508142531961921,0.0780948352716613,0.0848880021221389,0.159252317871471
"14","BRX8.7",11,0.307995704576292,0.26678815331065,0.440738711311888,1.1505511945463,0.325373725355248,1.13228496154375,0.529668600561978,0.379451433076704
"15","BRX8.7",17,0.466912056449395,0.397585747179195,0.338324513296339,0.474508770602442,0.32149165138135,0.399257038311425,0.227474666155326,0.632854209302876
"16","BRX8.8",4,0.0918901064539287,0.0603052639129157,0.194484132259046,0.0608499434216391,0.13254301987733,0.304973046111191,0.21039115877819,0.0689555407880401
"17","BRX8.8",11,0.367052291773573,0.529906390135729,0.208496444452934,0.252681942874381,0.261550075590861,0.28243510978761,0.0533261182898774,0.355660156692572
"18","BRX8.8",17,0.227678075362214,0.302363014485794,0.455678319707858,0.679305578474636,0.444864825129481,0.711733953038092,0.415611116625591,0.357186222283413
"19","BRX8.9",4,0.145930292064333,0.27315632799647,0.285986316311506,0.280849363106041,0.291754555808822,0.281797973599828,0.258717858530025,0.100259208082949
"20","BRX8.9",11,0.339807150854963,0.39955151468482,0.363902968726843,0.459506113633388,0.311521582399741,0.471743599621136,0.392430493836206,0.365889884012737
"21","BRX8.9",17,0.239822964204845,0.318321752686184,0.368037619873442,0.284221939750607,0.4341668796365,0.302563348077935,0.443969437767468,0.49822502724888
"22","BRX9.1",4,0.0755621477582311,0.118094224851208,0.0764324362175349,0.0885894388177176,0.107558291521772,0.11670276275039,0.0694543257185718,0.0585024048428284
"23","BRX9.1",11,0.137513530598234,0.129709444527454,0.198108995102069,0.0851942757076025,0.274467510578261,0.287846940060639,0.0915328689708955,0.0750063335582321
"24","BRX9.1",17,0.310779035524951,0.334647551614344,0.175890463726476,0.365051447016579,0.323300930990403,0.333975967317062,0.175729779772977,0.274812684843507
"25","BRX10.1",4,0.09079651435775,0.179826581209397,0.167566745585006,0.14353631981172,0.161268560320219,0.1410792555431,0.0832292235341581,0.0835642992250127
"26","BRX10.1",11,0.474655659019317,0.423395037363929,0.211369039668663,0.257044979769397,0.260276592565773,0.186538413453458,0.097717658554414,0.215896431919356
"27","BRX10.1",17,0.20773594698763,0.229857723124968,0.177401754797619,0.196922441605753,0.216432443141083,0.14862041020148,0.201645532778393,0.241305318905976
"28","BRX10.2",4,0.0741552571990614,0.106219435032617,0.119530884191679,0.157703996680547,0.160797919761402,0.0932269495309249,0.126258916760119,0.118938881662151
"29","BRX10.2",11,0.130625033423464,0.141729549240221,0.103160293258694,0.0916440372441151,0.103227007400616,0.212803071735333,0.168062078563865,0.181624294795648
"30","BRX10.2",17,0.290757410930927,0.15304211302347,0.132074598988128,0.13617948290001,0.209911368815316,0.239197173627971,0.20906393243157,0.558020381568137
"31","BRX10.3",4,0.077723776011843,0.624362941847659,0.103458006377457,0.333638009968351,0.253452598821328,0.418212418472924,0.263386339489041,0.0600592487777906
"32","BRX10.3",11,0.162782549304081,0.274125166402885,0.602895484636955,0.103087296357352,0.290872062701478,0.361182130741177,0.326567282048143,0.600605938816857
"33","BRX10.3",17,0.277179205568523,0.0847833768055964,0.242655669801262,0.227733901039617,0.314901625374921,0.339280333624599,0.525447607571533,0.355712285820099
"34","BRX10.4",4,0.0772146969675599,0.299331726071554,0.347564716207183,1.07006433805787,0.225150835414298,0.175065094450002,0.0910979206614688,0.0560084783795833
"35","BRX10.4",11,0.314604234117311,0.0918328747245475,0.996039924983399,0.74361743556568,0.652845773082438,0.621534476869371,0.144675948936456,0.240227750745569
"36","BRX10.4",17,0.0635240704953977,0.0944455636326169,0.00916975373210734,0.0097362740140346,0.0119927824427761,0.00637294977894584,0.291331237259074,0.0438363883574613
"37","BRX10.5",4,0.162731402510712,0.171638249776209,0.440198113920119,0.373244655033115,0.241642929343569,0.315213825307071,0.426164806201629,0.122813395970325
"38","BRX10.5",11,1.03364752320278,0.586966922819844,0.679680033976882,0.173358024541557,0.405418918656931,0.347445848869827,0.30192186968974,0.183222726557499
"39","BRX10.5",17,0.243368646067187,0.188812031306958,0.173081394412237,0.147083697798746,0.25318595580936,0.285084897454437,0.277422632590278,0.161833841352749
"40","BRX10.6",4,0.11966280813042,1.11473156884618,0.360573404060432,0.273476663336546,0.575081723019118,0.297407340727738,0.266224873024158,0.104435750800653
"41","BRX10.6",11,1.05085332283188,0.677450025515132,0.419512093128226,0.65834656469577,0.324645855347684,0.522818093342804,0.280641685809806,0.440941701352025
"42","BRX10.6",17,0.15479253323791,0.157119413685927,0.14044502698537,0.127272281562574,0.117335724011832,0.184588174223105,0.117856569082296,0.162963798959588
"43","BRX10.7",4,0.467613301437331,0.469351291371854,0.287445662578548,0.374442134985724,0.587143609426124,0.846147525739697,0.119280842588003,0.0529653958259719
"44","BRX10.7",11,0.315776398461736,0.249219976928833,0.337405069923909,0.265448198437274,0.600009696312176,0.676345548485999,0.354521929478526,0.421615880494119
"45","BRX10.7",17,0.207697371525954,0.146503801866217,0.154815347621648,0.178135523262274,0.302127346274617,0.261197899490639,0.179852763314652,0.278914378855061
"46","BRX10.8",4,0.196598163871664,0.548012962218203,0.295507959979386,0.607266059905076,0.712063847633007,0.252356447047762,0.122013412922803,0.0635316122555044
"47","BRX10.8",11,0.661717297932936,0.572972874727759,0.442477060162075,0.508997428556382,0.470515587691762,0.648877647527264,0.404407188714599,0.195696345493482
"48","BRX10.8",17,0.152473730509862,0.147010916378755,0.320973878883315,0.312425557128917,0.370186599050555,0.0909196089297728,0.141814368521271,0.217113152873751
"49","BRX10.9",4,0.104150712139364,0.122868207417533,0.125123260930824,0.109234830282005,0.185853873806417,0.233283122247716,0.0849046157412278,0.0776184975186068
"50","BRX10.9",11,0.282967217910518,0.27289629168117,0.394361943974342,0.248720232873866,0.191085073393942,0.204253300589223,0.196272068765513,0.158418104520469
"51","BRX10.9",17,0.176655341740121,0.161916118302977,0.338508113557183,0.555473921062759,0.551064220075852,0.28501012141909,0.401224919797286,0.253537652175633
